"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,5,5
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,2,2
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,3,,,,,,,,,4.00 3
Chemical & Biomolecular Engr - CHBE 4699.,3,,,,,,,,,4.00 3
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,3,,,,,,,,,4.00 3
Chemical & Biomolecular Engr - CHBE 4699.,4,,,,,,,,,4.00 4
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,4,,,,,,,,,4.00 4
Chemical & Biomolecular Engr - CHBE 4699.,8,,,,,,,,,4.00 8
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,5,,,,,,,,,4.00 5
Chemical & Biomolecular Engr - CHBE 4699.,4,,,,,,,,,4.00 4
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,3,,,,,,,,,4.00 3
Chemical & Biomolecular Engr - CHBE 4699.,4,,,,,,,,,4.00 4
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,A1,B,C,D,F,I,S,U,V,W A4v.e0r0. Tota1
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,5,,,,,,,,,1 4.00 6
Chemical & Biomolecular Engr - CHBE 4699.,8,,,,,,,,,4.00 8
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,3,1,,,,,,,,3.75 4
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,4,,,,,,,,,4.00 4
Chemical & Biomolecular Engr - CHBE 4699.,3,,,,,,,,,4.00 3
Chemical & Biomolecular Engr - CHBE 4710.,2,5,1,,2,,,,,5 2.50 15
Chemical & Biomolecular Engr - CHBE 4720.,22,10,4,,,,,,,1 3.50 37
Chemical & Biomolecular Engr - CHBE 4759.,28,12,4,,1,,,,,3 3.47 48
Chemical & Biomolecular Engr - CHBE 4760.,1,4,1,,,,,,,3.00 6
Chemical & Biomolecular Engr - CHBE 4763.,1,2,2,,,,,,,1 2.80 6
Chemical & Biomolecular Engr - CHBE 4775.,17,5,1,,2,,,,,1 3.40 26
Chemical & Biomolecular Engr - CHBE 4801.,11,,,,,,,,,1 4.00 12
Chemical & Biomolecular Engr - CHBE 4803.,9,4,,,2,,,,,2 3.20 17
Chemical & Biomolecular Engr - CHBE 6001.,,,,,,,51,,,51
Chemical & Biomolecular Engr - CHBE 6003.,36,16,2,,,,,,,3.63 54
Chemical & Biomolecular Engr - CHBE 6020.,9,2,,,,,,,,3.82 11
Chemical & Biomolecular Engr - CHBE 6100.,42,26,4,,,,,,,3 3.53 75
Chemical & Biomolecular Engr - CHBE 6200.,28,28,1,,,,,,,1 3.47 58
Chemical & Biomolecular Engr - CHBE 6229.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 6300.,27,28,2,,,,,,,1 3.44 58
Chemical & Biomolecular Engr - CHBE 6500.,36,27,3,,,,,,,2 3.50 68
Chemical & Biomolecular Engr - CHBE 6710.,10,8,1,,,,,,,1 3.47 20
Chemical & Biomolecular Engr - CHBE 6741.,4,3,,,,,,,,1 3.57 8
Chemical & Biomolecular Engr - CHBE 6752.,3,,,,,,,,,4.00 3
Chemical & Biomolecular Engr - CHBE 6760.,2,1,1,,,,,,,3.25 4
Chemical & Biomolecular Engr - CHBE 6779.,2,,,,,,,,,1 4.00 3
Chemical & Biomolecular Engr - CHBE 6782.,4,3,,,,,,,,3.57 7
Chemical & Biomolecular Engr - CHBE 7000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 7000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 7771.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 8001.,,,,,,,154,5,,159
Chemical & Biomolecular Engr - CHBE 8801.,,,,,,,37,,,37
Chemical & Biomolecular Engr - CHBE 8801.,,,,,,,6,,,6
Chemical & Biomolecular Engr - CHBE 8803.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 8803.,3,1,,,,,,,,3.75 4
Chemical & Biomolecular Engr - CHBE 8803.,4,,,,,,,,,4.00 4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,8,,,8
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,9,,,9
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,6,,,6
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,13,,,13
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,6,,,6
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,45,,,45
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,9,,,9
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,3,,,3
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,8,,,8
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,A,B,C,D,F,I,S,U,V,W Aver. Tota
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,1,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,5,,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,7,,,7
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,5,,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,3,,,3
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,5,,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,1,,3
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,5,,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemistry - CHEM 1211K AC,65,75,55,18,5,,,,,5 2.81 223
Chemistry - CHEM 1211K B,76,85,52,13,4,,,,,6 2.94 236
Chemistry - CHEM 1212K B,105,58,28,8,6,,3,,,11 3.21 219
Chemistry - CHEM 1212K HP,18,15,4,,,,,,,3.38 37
Chemistry - CHEM 1310 A,99,93,46,15,6,,,,,4 3.02 263
Chemistry - CHEM 1310 G,34,29,14,10,6,1,,,,2 2.81 96
Chemistry - CHEM 1310 L,64,83,57,15,10,,,1,,5 2.77 235
Chemistry - CHEM 1310 N,34,30,12,4,3,,,,,1 3.06 84
Chemistry - CHEM 1315 A,73,49,14,10,3,,1,,,8 3.20 158
Chemistry - CHEM 1801 A,18,,,,,,1,,,4.00 19
Chemistry - CHEM 2211 AB,28,25,6,2,,,,,,3 3.30 64
Chemistry - CHEM 2311 A1,36,49,18,1,1,,,,,8 3.12 113
Chemistry - CHEM 2311 A2,77,38,12,9,3,,,,,6 3.27 145
Chemistry - CHEM 2311 A3,17,25,16,4,1,,,,,6 2.84 69
Chemistry - CHEM 2312 P,49,43,35,11,1,,,,,14 2.92 153
Chemistry - CHEM 2380 A,62,73,11,,,,,,,10 3.35 156
Chemistry - CHEM 2698 FI3,,,,,,,,,1,1
Chemistry - CHEM 2698 WU3,,,,,,,,,1,1
Chemistry - CHEM 2699 EL2,,,,,,,2,,,2
Chemistry - CHEM 2699 ELS,,,,,,,1,,,1
Chemistry - CHEM 2699 FR3,,,,,,,1,,,1
Chemistry - CHEM 2699 KUB,,,,,,,1,,,1
Chemistry - CHEM 2699 RED,,,,,,,1,,,1
Chemistry - CHEM 2699 SO3,,,,,,,1,,,1
Chemistry - CHEM 2801 A,4,,,,1,,,,,2 3.20 7
Chemistry - CHEM 2801 S,,,,,,,5,1,,1 7
Chemistry - CHEM 3111 A,13,14,14,3,3,,,,1,15 2.66 63
Chemistry - CHEM 3211 A,8,5,3,1,1,,,,,2 3.00 20
Chemistry - CHEM 3371 A,23,8,1,,,,,,,1 3.69 33
Chemistry - CHEM 3380 A,7,5,1,1,,,,,,5 3.29 19
Chemistry - CHEM 3411 A,12,14,12,6,1,,,,,6 2.67 51
Chemistry - CHEM 3511 A,50,52,17,5,1,,,,,5 3.16 130
Chemistry - CHEM 3700 A,18,5,,,,,,,,4 3.78 27
Chemistry - CHEM 4311 A,6,4,3,1,,,,,,2 3.07 16
Chemistry - CHEM 4341 A,26,38,2,2,,,,,,2 3.29 70
Chemistry - CHEM 4511 A,58,33,8,,,,,,,4 3.51 103
Chemistry - CHEM 4512 A,8,22,11,,,,,,,6 2.93 47
Chemistry - CHEM 4521 A,5,4,2,,,,,,,1 3.27 12
Chemistry - CHEM 4581 A,13,6,2,,,,,,,3.52 21
Chemistry - CHEM 4582 A,14,5,,,,,,,,1 3.74 20
Chemistry - CHEM 4601 A,12,,,,,,,,,4.00 12
Chemistry - CHEM 4698 EL3,,,,,,,,,2,2
Chemistry - CHEM 4698 FIN,,,,,,,,,2,2
Chemistry - CHEM 4698 FNZ,,,,,,,,,2,2
Chemistry - CHEM 4698 FNZ,A,B,C,D,F,I,S,U,V,W Aver. Tota
Chemistry - CHEM 4698 FRC,,,,,,,,,1,1
Chemistry - CHEM 4698 HU4,,,,,,,,,1,1
Chemistry - CHEM 4698 OYE,,,,,,,,,1,1
Chemistry - CHEM 4698 PK3,,,,,,,,,1,1
Chemistry - CHEM 4698 PO3,,,,,,,,,1,1
Chemistry - CHEM 4698 RE2,,,,,,,,,1,1
Chemistry - CHEM 4698 WNE,,,,,,,,,1,1
Chemistry - CHEM 4698 ZHU,,,,,,,,,1,1
Chemistry - CHEM 4699 BAR,2,,,,,,,,,4.00 2
Chemistry - CHEM 4699 BOM,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 BR3,,,,,,,,,,1 1
Chemistry - CHEM 4699 EL2,2,,,,,,,,,4.00 2
Chemistry - CHEM 4699 ELS,9,,,,,,,,,4.00 9
Chemistry - CHEM 4699 FER,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 FIN,1,,,,,,,,,1 4.00 2
Chemistry - CHEM 4699 FR3,3,,,,,,,,,4.00 3
Chemistry - CHEM 4699 FT3,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 GU2,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 GUT,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 HA3,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 LAP,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 LIE,2,,,,,,,,,4.00 2
Chemistry - CHEM 4699 OYE,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 PO1,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 PO3,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 SA2,1,,,,,,,,,1 4.00 2
Chemistry - CHEM 4699 SH2,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 SHE,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 SK1,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 SK6,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 STO,3,,,,,,,,,4.00 3
Chemistry - CHEM 4699 WIN,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 WK3,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 WM3,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 WU2,,,,,,,,,,1 1
Chemistry - CHEM 4699 WUR,1,,,,,,,,,4.00 1
Chemistry - CHEM 4775 A,1,2,,,,,,,,3.33 3
Chemistry - CHEM 4803 A,,1,,,,,,,,3.00 1
Chemistry - CHEM 4803 C,,2,,,,,,,,3.00 2
Chemistry - CHEM 4803 O,,,,,1,,,,,0.00 1
Chemistry - CHEM 6170 A,5,12,,,,,,,1,3.29 18
Chemistry - CHEM 6172 A,12,6,,,,,,,,3.67 18
Chemistry - CHEM 6283 A,20,2,,,,,,,4,3.91 26
Chemistry - CHEM 6371 A,9,8,,,,,,,,3.53 17
Chemistry - CHEM 6481 A,4,1,,,,,,,,2 3.80 7
Chemistry - CHEM 6484 A,1,4,,,,,,,,3.20 5
Chemistry - CHEM 6491 A,4,1,,,,,,,,3.80 5
Chemistry - CHEM 6501 A,15,,,,,,,,,4.00 15
Chemistry - CHEM 6572 A,20,2,1,,,,,,,3.83 23
Chemistry - CHEM 6573 A,13,2,2,,,,,,1,3.65 18
Chemistry - CHEM 6752 A,2,2,,,,,,,,3.50 4
Chemistry - CHEM 6756 A,6,1,,,,,,,1,1 3.86 9
Chemistry - CHEM 7000 MAR,,,,,,,1,,,1
Chemistry - CHEM 7000 RED,,,,,,,1,,,1
Chemistry - CHEM 7000 SCK,,,,,,,1,,,1
Chemistry - CHEM 7001 A,4,1,1,,,,,,,3.50 6
Chemistry - CHEM 8000 A,,,,,,,81,,,81
Chemistry - CHEM 8813 IMM,1,,,,,,1,,,4.00 2
Chemistry - CHEM 8813 IMM,A,B,C,D,F,I,S,U,V,W Aver. Tota
Chemistry - CHEM 8823 A,10,5,,,,,,,,3.67 15
Chemistry - CHEM 8833 A,9,4,3,,,,,,1,1 3.38 18
Chemistry - CHEM 8853 A,,,,,,,1,,,1
Chemistry - CHEM 8873 JR,2,3,,,,,,,2,3.40 7
Chemistry - CHEM 8901 A,,,,,,,47,,,47
Chemistry - CHEM 8903 A,10,5,,,,,,,,3.67 15
Chemistry - CHEM 8903 B,4,7,,,,,,,,3.36 11
Chemistry - CHEM 8997 VH,,,,,,,,,92,92
Chemistry - CHEM 9000 ARG,,,,,,,5,,,5
Chemistry - CHEM 9000 BOM,,,,,,,1,,,1
Chemistry - CHEM 9000 BRO,,,,,,,5,,,5
Chemistry - CHEM 9000 BRY,,,,,,,4,,,4
Chemistry - CHEM 9000 COL,,,,,,,6,,,6
Chemistry - CHEM 9000 DIC,,,,,,,6,,,6
Chemistry - CHEM 9000 ELS,,,,,,,6,,,6
Chemistry - CHEM 9000 FAR,,,,,,,46,,,46
Chemistry - CHEM 9000 FER,,,,,,,3,,,3
Chemistry - CHEM 9000 FIN,,,,,,,9,,,9
Chemistry - CHEM 9000 FRA,,,,,,,6,,,6
Chemistry - CHEM 9000 GAU,,,,,,,1,,,1
Chemistry - CHEM 9000 GUM,,,,,,,1,,,1
Chemistry - CHEM 9000 HEN,,,,,,,2,,,2
Chemistry - CHEM 9000 HER,,,,,,,1,,,1
Chemistry - CHEM 9000 HUD,,,,,,,3,,,3
Chemistry - CHEM 9000 JAN,,,,,,,1,,,1
Chemistry - CHEM 9000 JON,,,,,,,1,,,1
Chemistry - CHEM 9000 KEL,,,,,,,1,,,1
Chemistry - CHEM 9000 KUB,,,,,,,2,,,2
Chemistry - CHEM 9000 LAM,,,,,,,1,,,1
Chemistry - CHEM 9000 LAP,,,,,,,1,,,1
Chemistry - CHEM 9000 LIE,,,,,,,3,,,3
Chemistry - CHEM 9000 MAR,,,,,,,9,1,,10
Chemistry - CHEM 9000 ORL,,,,,,,3,,,3
Chemistry - CHEM 9000 OYE,,,,,,,3,1,,4
Chemistry - CHEM 9000 PAY,,,,,,,1,,,1
Chemistry - CHEM 9000 PER,,,,,,,4,,,4
Chemistry - CHEM 9000 PPY,,,,,,,3,,,3
Chemistry - CHEM 9000 RED,,,,,,,3,,,3
Chemistry - CHEM 9000 REI,,,,,,,3,,,3
Chemistry - CHEM 9000 REY,,,,,,,10,,,10
Chemistry - CHEM 9000 RUS,,,,,,,2,,,2
Chemistry - CHEM 9000 SAD,,,,,,,5,,,5
Chemistry - CHEM 9000 SCK,,,,,,,1,,,1
Chemistry - CHEM 9000 SHE,,,,,,,6,,,6
Chemistry - CHEM 9000 SOP,,,,,,,3,1,,4
Chemistry - CHEM 9000 STK,,,,,,,4,,,4
Chemistry - CHEM 9000 WLK,,,,,,,3,,,3
Chemistry - CHEM 9000 WLM,,,,,,,4,,,4
Chemistry - CHEM 9000 WU,,,,,,,3,,,3
Chemistry - CHEM 9000 XIA,,,,,,,8,,,8
Chemistry - CHEM 9000 ZHA,,,,,,,2,,,2
Chinese - CHIN 1001 C,12,3,,,,,1,,,1 3.80 17
Chinese - CHIN 1001 D,10,4,1,,1,,,1,,3.38 17
Chinese - CHIN 1001 F,14,1,,,,,2,,,2 3.93 19
Chinese - CHIN 1001 UA,7,1,,,,,,,,3.88 8
Chinese - CHIN 1002 D,4,3,,,,,2,,,1 3.57 10
Chinese - CHIN 1002 F,5,,,,,,,,,4.00 5
Chinese - CHIN 1002 G,13,3,,,,,,,,3.81 16
Chinese - CHIN 1002 G,A,B,C,D,F,I,S,U,V,W Aver. Tota
Chinese - CHIN 1002 UA,4,1,,,,,,,,3.80 5
Chinese - CHIN 1011 C,10,3,,,,,,,,2 3.77 15
Chinese - CHIN 2001 C,12,2,2,,,,1,,,1 3.63 18
Chinese - CHIN 2001 E,8,2,,,,,1,,,1 3.80 12
Chinese - CHIN 2002 D,7,2,,,,,,,,3.78 9
Chinese - CHIN 2012 G,5,4,,,,,1,,1,3.56 11
Chinese - CHIN 3003 F,14,,,,,,,,,1 4.00 15
Chinese - CHIN 3021 C,9,2,,,,,,,2,1 3.82 14
Chinese - CHIN 3813 H,6,,,,,,,,,4.00 6
Chinese - CHIN 4003 F,2,3,,,1,,1,,,1 2.83 8
Chinese - CHIN 4031 E,11,3,,,,,2,,,1 3.79 17
Chinese - CHIN 4500 G,7,,1,,,,,,,3.75 8
Chinese - CHIN 4699 A,1,,,,,,,,,4.00 1
City Planning - CP 4020 C,28,18,2,,1,,,,,1 3.47 50
City Planning - CP 4190 C,7,2,2,,,,,,,2 3.45 13
City Planning - CP 4310 AK,20,20,2,,,,,,,1 3.43 43
City Planning - CP 4510 C,21,10,,,,,,,,4 3.68 35
City Planning - CP 4610 C,14,10,1,2,,,,,,3.33 27
City Planning - CP 6012 ME,12,11,1,,,,,,,1 3.46 25
City Planning - CP 6012 S,10,13,1,,,,,,,3.38 24
City Planning - CP 6025 C,17,23,1,,,,,,,2 3.39 43
City Planning - CP 6052 AK,12,,,,,,,,,1 4.00 13
City Planning - CP 6052 MD,9,2,,,,,,,,3.82 11
City Planning - CP 6052 MD1,12,,,,,,,,,4.00 12
City Planning - CP 6112 C,10,4,,,,,,,,1 3.71 15
City Planning - CP 6190 C,3,1,,,,,,,,3.75 4
City Planning - CP 6223 C,6,5,1,,,,,,,1 3.42 13
City Planning - CP 6241 C,6,3,,,,,,,,3.67 9
City Planning - CP 6311 C,18,2,,,,,,,,3.90 20
City Planning - CP 6321 C,18,6,,,,,,,,3.75 24
City Planning - CP 6412 C,4,3,,,,,,,,2 3.57 9
City Planning - CP 6514 C,14,11,1,,,,,,,3 3.50 29
City Planning - CP 6514 S,24,5,1,,,,,,,3.77 30
City Planning - CP 6531 C,13,3,,1,,,,,,3.65 17
City Planning - CP 6542 C,17,8,1,1,,,,,1,3.52 28
City Planning - CP 6570 C,15,10,1,,,,,,2,3.54 28
City Planning - CP 6630 C,16,4,,,,,,,,1 3.80 21
City Planning - CP 6640 DH,10,14,,,,,,,,1 3.42 25
City Planning - CP 6640 EM,1,,,,,,,,,4.00 1
City Planning - CP 6850 C,10,1,1,,,,,,1,3.75 13
City Planning - CP 7000 CR,,,,,,,2,,,2
City Planning - CP 7000 NB,,,,,,,1,,,1
City Planning - CP 7999 ME,,,,,,,1,,,1
City Planning - CP 7999 S,,,,,,,2,,,2
City Planning - CP 8012 C,,,,,,,4,,,4
City Planning - CP 8022 C,,,,,,,10,,,10
City Planning - CP 8200 C,2,,,,,,,,,1 4.00 3
City Planning - CP 8823 NB,2,,,,,,,,,1 4.00 3
City Planning - CP 8881 C,,,,,,,25,,,7 32
City Planning - CP 8883 AF,2,1,,,,,,,,3.67 3
City Planning - CP 8900 AK,1,1,,,,,,,,3.50 2
City Planning - CP 8900 BD,2,,,,,,,,,4.00 2
City Planning - CP 8900 MD,1,,,,,,,,,4.00 1
City Planning - CP 8900 NL,,1,,,,,,,,3.00 1
City Planning - CP 8900 PY,1,,,,,,,,,4.00 1
City Planning - CP 8900 TG,1,,,,,,,,,4.00 1
City Planning - CP 8990 AK,4,1,,,,,,,,3.80 5
City Planning - CP 8990 BD,4,2,,,,,,,,3.67 6
City Planning - CP 8990 BD,A,B,C,D,F,I,S,U,V,W Aver. Tota
City Planning - CP 8990 CR,1,,,,,1,,,,4.00 2
City Planning - CP 8990 DI,2,1,,,,,,,,3.67 3
City Planning - CP 8990 K,3,,,,1,,,,,3.00 4
City Planning - CP 8990 MD,3,1,,,,,,,,3.75 4
City Planning - CP 8990 ME,,,1,,,,,,,2.00 1
City Planning - CP 8990 NB,2,,,,,,,,,4.00 2
City Planning - CP 8990 NL,1,2,,,,,,,,3.33 3
City Planning - CP 8990 S,2,,,,1,,,,,2.67 3
City Planning - CP 8990 SF,,1,,,,,,,,3.00 1
City Planning - CP 8990 SG,1,,,,,,,,,4.00 1
City Planning - CP 8990 TW,7,,,,,,,,,4.00 7
City Planning - CP 8997 C,,,,,,,,,8,8
City Planning - CP 8998 NL,,,,,,,,,4,4
City Planning - CP 8998 SB,,,,,,,,,31,31
City Planning - CP 8999 BS,,,,,,,1,,,1
City Planning - CP 8999 CR,,,,,,,2,,,2
City Planning - CP 8999 NL,,,,,,,1,1,,2
City Planning - CP 9000 CR,,,,,,,1,,,1
City Planning - CP 9000 DI,,,,,,,2,,,2
City Planning - CP 9000 ME,,,,,,,1,,,1
City Planning - CP 9000 S,,,,,,,1,,,1
City Planning - CP 9000 SG,,,,,,,2,,,2
Civil and Environmental Engr - CEE 1770 A,20,7,1,,,,,,,2 3.68 30
Civil and Environmental Engr - CEE 1770 B,19,8,,,,,,,,1 3.70 28
Civil and Environmental Engr - CEE 2040 A,17,26,13,1,,,,,,2 3.04 59
Civil and Environmental Engr - CEE 2300 A,28,25,7,3,,,,,,2 3.24 65
Civil and Environmental Engr - CEE 2300 B,17,25,13,,,,,,,3 3.07 58
Civil and Environmental Engr - CEE 3000 A,23,16,3,,,,,,,2 3.48 44
Civil and Environmental Engr - CEE 3000 B,23,14,,,,,,,,1 3.62 38
Civil and Environmental Engr - CEE 3010 D,60,13,2,,,,,,,3.77 75
Civil and Environmental Engr - CEE 3020 B,17,33,16,2,3,,,,,7 2.83 78
Civil and Environmental Engr - CEE 3040 A,12,9,11,,,,,,,2 3.03 34
Civil and Environmental Engr - CEE 3040 B,25,28,15,2,1,,,,,3.04 71
Civil and Environmental Engr - CEE 3051 A,12,3,,,1,,,,,3 3.56 19
Civil and Environmental Engr - CEE 3055 A,28,15,10,2,3,,,,,4 3.09 62
Civil and Environmental Engr - CEE 3340 A,18,4,3,,,,,,,3.60 25
Civil and Environmental Engr - CEE 3770 A,19,6,10,6,2,,,,,10 2.79 53
Civil and Environmental Engr - CEE 3770 B,12,20,9,7,6,,,,,1 2.46 55
Civil and Environmental Engr - CEE 4090 A,17,10,12,,,,,,,3.13 39
Civil and Environmental Engr - CEE 4090 B,16,4,1,,,,,,,3.71 21
Civil and Environmental Engr - CEE 4100 A,46,15,2,2,1,,,,,2 3.56 68
Civil and Environmental Engr - CEE 4101 A,,,,,,,26,,,1 27
Civil and Environmental Engr - CEE 4120 A,25,14,4,2,1,,,,,3.30 46
Civil and Environmental Engr - CEE 4200 B,14,14,,1,,,,,,3 3.41 32
Civil and Environmental Engr - CEE 4210 A,33,21,,1,,,,,,3.56 55
Civil and Environmental Engr - CEE 4300 A,41,13,1,,,,,,,1 3.73 56
Civil and Environmental Engr - CEE 4330 A,8,9,4,,,,,,,3 3.19 24
Civil and Environmental Engr - CEE 4340 A,1,10,,,,,,,,4 3.09 15
Civil and Environmental Engr - CEE 4405 B,15,24,15,3,1,,,,,1 2.84 59
Civil and Environmental Engr - CEE 4510 A,10,14,1,,1,,,,,2 3.23 28
Civil and Environmental Engr - CEE 4520 A,9,16,5,1,,,,,,1 3.06 32
Civil and Environmental Engr - CEE 4550 A,29,16,3,,1,,,,,3 3.47 52
Civil and Environmental Engr - CEE 4600 B,46,12,2,1,,,,,,1 3.69 62
Civil and Environmental Engr - CEE 4610 A,30,3,5,,1,,,,,1 3.56 40
Civil and Environmental Engr - CEE 4698 FR.,,,,,,,,,2,2
Civil and Environmental Engr - CEE 4698 J.,,,,,,,,,2,2
Civil and Environmental Engr - CEE 4698 JTS,,,,,,,,,1,1
Civil and Environmental Engr - CEE 4699 C.,7,,,,,,,,,4.00 7
Civil and Environmental Engr - CEE 4699 C.,A,B,C,D,F,I,S,U,V,W Aver. Tota
Civil and Environmental Engr - CEE 4699 C.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 FRI,5,,,,,,,,,4.00 5
Civil and Environmental Engr - CEE 4699 H.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 H.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 J.,3,,,,,,,,,4.00 3
Civil and Environmental Engr - CEE 4699 K.,2,,,,,,,,,4.00 2
Civil and Environmental Engr - CEE 4699 LKS,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 W.,4,,,,,,,,,4.00 4
Civil and Environmental Engr - CEE 4699 W.,1,,,,,,,,,4.00 1
