,categoryType,contentType,institution_name,overall_rating,rating_class,tDept,tFname,tLname,tMiddlename,tNumRatings,tSid,tid
64,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Psychology,Meghan,Babcock,J,5,361,2357602
65,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Biomedical Engineering,Julia,Babensee,Elizabeth,0,361,2276290
66,PROFESSOR,TEACHER,Georgia Institute of Technology,1.8,poor,Mathematics,Yuri,Bakhtin,,3,361,1340203
67,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,English,Scott,Balcerzak,,3,361,1196604
68,PROFESSOR,TEACHER,Georgia Institute of Technology,4.8,good,Computer Science,Tucker,Balch,,7,361,1939465
69,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Mechanical Engineering,Michael,Baldwin,,0,361,2376509
70,PROFESSOR,TEACHER,Georgia Institute of Technology,2.9,average,Civil Engineering,Martina,Balic,,13,361,2256284
71,PROFESSOR,TEACHER,Georgia Institute of Technology,3.2,average,Physics,David,Ballantyne,,3,361,1825520
72,PROFESSOR,TEACHER,Georgia Institute of Technology,4.4,good,Economics,Shomu,Banerjee,,6,361,26041
73,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,English,Scott,Banville,,4,361,755912
74,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Biomedical Engineering,Gilda,Barabino,,0,361,1823780
75,PROFESSOR,TEACHER,Georgia Institute of Technology,4.7,good,Health Science,Lesley,Baradel,,9,361,2265952
76,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Management,Matthew,Barcaskey,,7,361,2051330
77,PROFESSOR,TEACHER,Georgia Institute of Technology,3.7,good,Architecture,Camille,Barchers,,3,361,2273619
78,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Biology,Patrick,Bardill,,1,361,1972456
79,PROFESSOR,TEACHER,Georgia Institute of Technology,3.5,good,Chemistry,Kent,Barefield,,15,361,555600
80,PROFESSOR,TEACHER,Georgia Institute of Technology,3.9,good,Political Science,Richard,Barke,,7,361,274737
81,PROFESSOR,TEACHER,Georgia Institute of Technology,2.6,average,Biomedical Engineering,Shannon,Barker,,7,361,1671466
82,PROFESSOR,TEACHER,Georgia Institute of Technology,4.6,good,Chemistry,William,Baron,,33,361,231363
83,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Mathematics,Salvador,Barone,P,53,361,1841430
84,PROFESSOR,TEACHER,Georgia Institute of Technology,2.6,average,Mathematics,Fidel,Barrera Cruz,,7,361,2050202
85,PROFESSOR,TEACHER,Georgia Institute of Technology,2.5,average,Chemistry,Bridgette,Barry,,2,361,475074
86,PROFESSOR,TEACHER,Georgia Institute of Technology,3.8,good,Electrical Engineering,John,Barry,,8,361,1798732
87,PROFESSOR,TEACHER,Georgia Institute of Technology,2.6,average,Engineering,Nazanin,Bassiri Gharb,,8,361,1132943
88,PROFESSOR,TEACHER,Georgia Institute of Technology,4.6,good,Economics,Ibrahiim,Bayaan,,5,361,1043953
89,PROFESSOR,TEACHER,Georgia Institute of Technology,4.9,good,History,Ronald,Bayor,,6,361,204416
90,PROFESSOR,TEACHER,Georgia Institute of Technology,3.3,average,Electrical Engineering,Brian,Beck,,3,361,2259685
91,PROFESSOR,TEACHER,Georgia Institute of Technology,4.8,good,Chemical Engineering,Sven,Behrens,Holger,4,361,2402585
92,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,English,Mary,Behrman,,2,361,979824
93,PROFESSOR,TEACHER,Georgia Institute of Technology,2.5,average,Mathematics,Igor,Belegradek,,25,361,818632
94,PROFESSOR,TEACHER,Georgia Institute of Technology,1.8,poor,Mathematics,Johan,Belinfante,,34,361,26046
95,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Biomedical Engineering,Ravi,Bellamkonda,,2,361,1190597
96,PROFESSOR,TEACHER,Georgia Institute of Technology,1.9,poor,Physics,Jean,Bellissard,,37,361,435733
97,PROFESSOR,TEACHER,Georgia Institute of Technology,3.8,good,Economics,Willie,Belton,,17,361,201657
98,PROFESSOR,TEACHER,Georgia Institute of Technology,3.9,good,Mathematics,Philip,Benge,,11,361,1866698
99,PROFESSOR,TEACHER,Georgia Institute of Technology,2.5,average,Biomedical,Paul,Benkeser,,4,361,759725
100,PROFESSOR,TEACHER,Georgia Institute of Technology,4.3,good,Management,Nathan,Bennett,,3,361,1607792
101,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Physics,Claire,Berger,,1,361,2468547
102,PROFESSOR,TEACHER,Georgia Institute of Technology,4.3,good,English,Benjamin,Bergholtz,,7,361,2419092
103,PROFESSOR,TEACHER,Georgia Institute of Technology,1.5,poor,Mathematics,Megan,Bernstein,,11,361,2104373
104,PROFESSOR,TEACHER,Georgia Institute of Technology,4.9,good,Public Policy,Roberta,Berry,,4,361,1341267
105,PROFESSOR,TEACHER,Georgia Institute of Technology,3.5,good,Economics,Tibor,Besedes,,13,361,1458303
106,PROFESSOR,TEACHER,Georgia Institute of Technology,2.5,average,Mathematics,Amnon,Besser,,2,361,2360398
107,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Computer Science,Michael,Best,,0,361,2408441
108,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Mathematics,Prateek,Bhakta,,1,361,2107057
109,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Chemical Engineering,Saad,Bhamla,,0,361,2292642
110,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Materials Engineering,Swapan,Bhattacharya,K,0,361,2187000
111,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Public Policy,Justin,Biddle,,3,361,2331957
112,PROFESSOR,TEACHER,Georgia Institute of Technology,4.8,good,Nuclear Engineering,Steven,Biegalski,,6,361,2356569
113,PROFESSOR,TEACHER,Georgia Institute of Technology,3.8,good,History,Laura,Bier,,7,361,1589558
114,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Electrical Engineering,Juang,Biing,,3,361,1122863
115,PROFESSOR,TEACHER,Georgia Institute of Technology,4.5,good,Mathematics,Mark,Bilinski,,1,361,995754
116,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Mathematics,Dmitriy,Bilyk,,0,361,877462
117,PROFESSOR,TEACHER,Georgia Institute of Technology,2.7,average,Political Science,Vicki,Birchfield,,9,361,263632
118,PROFESSOR,TEACHER,Georgia Institute of Technology,3.2,average,Physics,Helmut,Biritz,,10,361,200415
119,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Mathematics,Csaba,Biro,,2,361,779608
120,PROFESSOR,TEACHER,Georgia Institute of Technology,3.8,good,Mathematics,Saikat,Biswas,,3,361,1774286
121,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,English,Olin,Bjork,,0,361,1466845
122,PROFESSOR,TEACHER,Georgia Institute of Technology,2.5,average,English,Brandy,Blake,,1,361,1675379
123,PROFESSOR,TEACHER,Georgia Institute of Technology,3.8,good,English,Robert,Blaskiewicz,,10,361,1347900
124,PROFESSOR,TEACHER,Georgia Institute of Technology,4.5,good,Mathematics,Greg,Blekherman,,28,361,1635936
125,PROFESSOR,TEACHER,Georgia Institute of Technology,2.4,poor,Chemistry,Toby,Block,,12,361,184698
126,PROFESSOR,TEACHER,Georgia Institute of Technology,2.8,average,Electrical Engineering,Doug,Blough,,3,361,1610010
127,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Computer Science,Aaron,Bobick,,6,361,540063
128,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Industrial Engineering,Doug,Bodner,,3,361,2318093
129,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Computer Science,Greg,Bodwin,,1,361,2468447
130,PROFESSOR,TEACHER,Georgia Institute of Technology,4.4,good,Physics,Tamara,Bogdanovic,,11,361,1788852
131,PROFESSOR,TEACHER,Georgia Institute of Technology,1.3,poor,Computer Science,Ian,Bogost,,6,361,1862021
132,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Technology,Ian,Bogost,,0,361,2352484
133,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Political Science,Anjali,Bohlken,Thomas,0,361,2359622
134,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Mathematics,Mark,Bolding,,2,361,2225601
135,PROFESSOR,TEACHER,Georgia Institute of Technology,2.5,average,Computer Science,Sasha,Boldyreva,,6,361,1250840
136,PROFESSOR,TEACHER,Georgia Institute of Technology,2.8,average,Literature,Jay,Bolter,,2,361,22150
137,PROFESSOR,TEACHER,Georgia Institute of Technology,1.6,poor,Mathematics,Federico,Bonetto,,24,361,554218
138,PROFESSOR,TEACHER,Georgia Institute of Technology,3.2,average,Chemistry,Angelo,Bongiorno,,3,361,1130740
139,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Languages,Solange,Bonnett,,2,361,26050
140,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Mathematics,Justin,Boone,B,1,361,2288504
141,PROFESSOR,TEACHER,Georgia Institute of Technology,1.0,poor,Computer Science,Byron,Boots,,1,361,2409467
142,PROFESSOR,TEACHER,Georgia Institute of Technology,3.5,good,Mathematics,Sergiy,Bordochav,,2,361,1050461
143,PROFESSOR,TEACHER,Georgia Institute of Technology,4.7,good,Public Policy,Jason,Borenstein,,5,361,1048549
144,PROFESSOR,TEACHER,Georgia Institute of Technology,1.5,poor,Biomedical Engineering,Edward,Botchwey,A,7,361,1816466
145,PROFESSOR,TEACHER,Georgia Institute of Technology,2.5,average,Chemistry,Lawrence,Bottomley,,3,361,865857
146,PROFESSOR,TEACHER,Georgia Institute of Technology,4.1,good,Engineering,Christina,Bourgeois,,4,361,508301
147,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Building Construction,Brian,Bowen,,0,361,1633386
148,PROFESSOR,TEACHER,Georgia Institute of Technology,4.4,good,Political Science,Kirk,Bowman,,10,361,97098
149,PROFESSOR,TEACHER,Georgia Institute of Technology,4.8,good,English,Andrew,Bozio,,3,361,1842787
150,PROFESSOR,TEACHER,Georgia Institute of Technology,2.8,average,Building Construction,Arash,Bozorgmehr,,2,361,1450727
151,PROFESSOR,TEACHER,Georgia Institute of Technology,2.5,average,English,Joy,Bracewell,,1,361,1942025
152,PROFESSOR,TEACHER,Georgia Institute of Technology,3.4,average,Chemistry,Robert,Braga,,4,361,451010
153,PROFESSOR,TEACHER,Georgia Institute of Technology,4.2,good,Mathematics,Rena,Brakebill,,16,361,155779
154,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Building Construction,Scott,Braley,W,1,361,2421432
155,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Management,Barry,Branch,,0,361,1954445
156,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Aerospace Engineering,Robert,Braun,,2,361,1336427
157,PROFESSOR,TEACHER,Georgia Institute of Technology,3.5,average,Political Science,Peter,Brecke,,11,361,10636
158,PROFESSOR,TEACHER,Georgia Institute of Technology,3.1,average,Chemistry,Jean-Luc,Bredas,,4,361,712943
159,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Chemical Engineering,Victor,Breedveld,,2,361,2240251
160,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Management,Amy,Breidenthal,,1,361,2467616
161,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Engineering,Kevin,Brenner,,4,361,1614882
162,PROFESSOR,TEACHER,Georgia Institute of Technology,1.9,poor,Electrical Engineering,Thomas,Brewer,,6,361,1182658
163,PROFESSOR,TEACHER,Georgia Institute of Technology,4.4,good,Mathematics,Gerandy,Brito,,14,361,2329204
164,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Psychology,James,Broadway,,0,361,1347234
165,PROFESSOR,TEACHER,Georgia Institute of Technology,3.5,average,Biology,Mirjana,Brockett,,10,361,784492
166,PROFESSOR,TEACHER,Georgia Institute of Technology,3.9,good,English,Ron,Broglio,,9,361,10633
167,PROFESSOR,TEACHER,Georgia Institute of Technology,3.6,good,English,Phoebe,Bronstein,,7,361,1974338
168,PROFESSOR,TEACHER,Georgia Institute of Technology,2.7,average,Psychology,Charles,Brooks,,3,361,1610732
169,PROFESSOR,TEACHER,Georgia Institute of Technology,3.8,good,Chemistry,Ken,Brown,,6,361,889091
170,PROFESSOR,TEACHER,Georgia Institute of Technology,3.2,average,English,David,Brown,,2,361,1348793
171,PROFESSOR,TEACHER,Georgia Institute of Technology,4.3,good,English,Lyndsay,Brown,,3,361,2102137
172,PROFESSOR,TEACHER,Georgia Institute of Technology,4.2,good,English,John,Browning,Edgar,24,361,2006027
173,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Computer Science,Charlie,Brubaker,,0,361,2135543
174,PROFESSOR,TEACHER,Georgia Institute of Technology,4.4,good,Management,Michael,Buchanan,,9,361,1887885
175,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Electrical Engineering,John,Buck,,1,361,2257549
176,PROFESSOR,TEACHER,Georgia Institute of Technology,2.9,average,English,Chelsea,Bullock,,8,361,2007084
177,PROFESSOR,TEACHER,Georgia Institute of Technology,1.7,poor,Mathematics,Leonid,Bunimovich,,5,361,626457
178,PROFESSOR,TEACHER,Georgia Institute of Technology,2.5,average,Chemistry,Uwe,Bunz,,2,361,448659
179,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,English,George,Burdell,P.,0,361,2054707
180,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Engineering,George,Burdell,,93,361,527118
181,PROFESSOR,TEACHER,Georgia Institute of Technology,4.6,good,Business,Robert,Burgess,,9,361,202767
182,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Literature Media amp Communication,Rebecca,Burnett,,1,361,2417474
183,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Engineering,Susan,Burns,,2,361,1447512
184,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Civil Engineering,Susan,Burns,,0,361,2470187
185,PROFESSOR,TEACHER,Georgia Institute of Technology,3.8,good,Mathematics,Albert,Bush,,3,361,1816782
186,PROFESSOR,TEACHER,Georgia Institute of Technology,2.5,average,Mathematics,Adrian,Bustamente,,2,361,2406572
187,PROFESSOR,TEACHER,Georgia Institute of Technology,4.5,good,Management,Seletha,Butler,,9,361,1673156
188,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Computer Science,Charles,Byrd,David,1,361,2393870
189,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,English,Lindsay,Byron,,0,361,1886140
190,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Electrical Engineering,Wenshan,Cai,,3,361,1900645
191,PROFESSOR,TEACHER,Georgia Institute of Technology,4.8,good,French,Antoine,Caille,,6,361,2163470
192,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,English,Owen,Cantrell,,11,361,2186296
193,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Mechanical Engineering,Laurent,Capolungo,,1,361,2210950
194,PROFESSOR,TEACHER,Georgia Institute of Technology,2.5,average,English,Mauro,Carassai,,4,361,1928179
195,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Industrial Engineering,Jose,Carbajal,Antonio,0,361,2439278
196,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Mathematics,Eric,Carlen,,18,361,10632
197,PROFESSOR,TEACHER,Georgia Institute of Technology,3.7,good,Mechanical Engineering,Peter,Carnell,,9,361,914968
198,PROFESSOR,TEACHER,Georgia Institute of Technology,2.6,average,Engineering,Brent,Carter,,7,361,394513
199,PROFESSOR,TEACHER,Georgia Institute of Technology,2.0,poor,Building Construction,Daniel,Castro-Lacouture,,1,361,2315230
200,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Physics,Michael,Cathcart,,1,361,1679025
201,PROFESSOR,TEACHER,Georgia Institute of Technology,4.3,good,Psychology,Richard,Catrambone,,10,361,10617
202,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Electrical Engineering,Richard,Causey,,1,361,2397334
203,PROFESSOR,TEACHER,Georgia Institute of Technology,2.8,average,Mathematics,Marcel,Celaya,,4,361,2174237
204,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,English,Dongho,Cha,,6,361,2396595
205,PROFESSOR,TEACHER,Georgia Institute of Technology,3.3,average,Management,Yih Long,Chang,,9,361,775888
206,PROFESSOR,TEACHER,Georgia Institute of Technology,2.3,poor,Electrical Engineering,Gee-Kung,Chang,,5,361,1070438
207,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Korean,Seung,Chang,Eun,2,361,2418092
208,PROFESSOR,TEACHER,Georgia Institute of Technology,1.0,poor,English,Maria,Chappell,,2,361,2411244
209,PROFESSOR,TEACHER,Georgia Institute of Technology,2.6,average,Electrical Engineering,Abhijit,Chatterjee,,14,361,436211
210,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Computer Science,Polo,Chau,,0,361,2346481
211,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Management,Sudheer,Chava,,0,361,2280096
212,PROFESSOR,TEACHER,Georgia Institute of Technology,2.9,average,Mathematics,Xu Yan,Chen,,58,361,10920
213,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Science,Soy,Chen,,0,361,450667
214,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Mechanical Engineering,Ye-Hwa,Chen,,10,361,1790585
215,PROFESSOR,TEACHER,Georgia Institute of Technology,3.2,average,Mathematics,Geng,Chen,,23,361,1848155
216,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Management,Zoey,Chen,,2,361,1883216
217,PROFESSOR,TEACHER,Georgia Institute of Technology,4.3,good,Mathematics,Jiangning,Chen,,20,361,2181568
218,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Chemical Engineering,Ruizhen,Chen,Rachel,0,361,2250061
219,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Industrial Engineering,Junzhuo,Chen,,0,361,2374812
220,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Engineering,Hailong,Chen,,4,361,2389208
221,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Japanese,Satomi,Chenoweth,Suzuki,2,361,2164033
222,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Industrial Engineering,Vinod,Cheriyan,,2,361,1592198
223,PROFESSOR,TEACHER,Georgia Institute of Technology,2.2,poor,Biology,Yury,Chernoff,,7,361,1103584
224,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Computer Science,Sonia,Chernova,,1,361,2251818
225,PROFESSOR,TEACHER,Georgia Institute of Technology,4.5,good,Leadership Studies,Jerry,Cherry,Don,1,361,2053986
226,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Computer Science,Zachay,Cheshire,,0,361,2157057
227,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Chemistry,San-Hui,Chi,,0,361,2349589
228,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Industrial Design,Stephen,Chininis,,2,361,2381718
229,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Civil Engineering,Yong,Cho,Kwon,1,361,2469745
230,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Industrial Design,Christina,Choi,,1,361,2381719
231,PROFESSOR,TEACHER,Georgia Institute of Technology,1.0,poor,Industrial Design,Young Mi,Choi,,1,361,2171540
232,PROFESSOR,TEACHER,Georgia Institute of Technology,3.5,average,Biology,Jung,Choi,,39,361,940111
233,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Architecture,Ruchi,Choudhary,,0,361,881265
234,PROFESSOR,TEACHER,Georgia Institute of Technology,3.6,good,Mathematics,Shui-Nee,Chow,,8,361,1746949
