"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Building Construction - BC 3620 S,1,,,,,,,,,1 4.00 2
Building Construction - BC 4050 PP,2,,,,,,,,,4.00 2
Building Construction - BC 4120 DP,5,1,,,,,,,,3.83 6
Building Construction - BC 4630 S,2,,,,,,,,,4.00 2
Building Construction - BC 4833 DP,26,4,1,,,,,,,1 3.81 32
Building Construction - BC 6050 PP,14,1,,,,,,,,3.93 15
Building Construction - BC 6125 A,,,,,,,3,,,3
Building Construction - BC 6200 S,6,6,,,,,,,,3.50 12
Building Construction - BC 6250 S,9,2,,,,,,,,3.82 11
Building Construction - BC 6275 DP,11,1,,,,,,,,3.92 12
Building Construction - BC 6385 EP,16,7,,,,,,,,3.70 23
Building Construction - BC 6400 S,13,2,,,,,,,,1 3.87 16
Building Construction - BC 6500 T,16,,,,,,,,,4.00 16
Building Construction - BC 6575 RP,3,3,1,,,,,,,3.29 7
Building Construction - BC 6585 SJ,14,14,1,,,,,,,3.45 29
Building Construction - BC 6600 EY,7,4,1,,,,,,,3.50 12
Building Construction - BC 6650 A,9,8,,,,,,,,3.53 17
Building Construction - BC 6675 RP,7,1,2,,,,,,,3.50 10
Building Construction - BC 7000 EY,,,,,,,2,,,2
Building Construction - BC 7200 PP,,,,,,,1,,,1
Building Construction - BC 8000 XS,,,,,,,5,,,5
Building Construction - BC 8100 A,4,,,,,,,,,4.00 4
Building Construction - BC 8803 JI,22,,,,,,,,,4.00 22
Building Construction - BC 8813 FW,1,,,,,,,,,4.00 1
Building Construction - BC 8833 DP,16,1,1,,,,,,,3.83 18
Building Construction - BC 8903 BA,3,1,,,,,,,,3.75 4
Building Construction - BC 8903 DC,1,,,,,,,,,4.00 1
Building Construction - BC 8903 JI,2,,,,,,,,,4.00 2
Building Construction - BC 8903 JI,A,B,C,D,F,I,S,U,V,W Aver. Tota
Building Construction - BC 8903 PP,1,,,,,,,,,4.00 1
Building Construction - BC 8903 XS,1,,,,,,,,,4.00 1
Building Construction - BC 8997 BA,,,,,,,,,1,1
Building Construction - BC 8997 DC,,,,,,,,,1,1
Building Construction - BC 8997 PP,,,,,,,,,1,1
Building Construction - BC 8998 BA,,,,,,,,,4,4
Building Construction - BC 8998 DC,,,,,,,,,6,6
Building Construction - BC 8998 EY,,,,,,,,,1,1
Building Construction - BC 8998 JI,,,,,,,,,1,1
Building Construction - BC 8998 PP,,,,,,,,,2,2
Building Construction - BC 8998 XS,,,,,,,,,1,1
Building Construction - BC 8999 BA,,,,,,,3,1,,4
Building Construction - BC 8999 DC,,,,,,,1,,,1
Building Construction - BC 8999 EY,,,,,,,1,,,1
Building Construction - BC 8999 JI,,,,,,,1,,,1
Building Construction - BC 9000 DC,,,,,,,3,,,3
Building Construction - BC 9000 XS,,,,,,,1,,,1
Center Enhancement-Teach/Learn - CETL 2.,,,,,,,10,,,10
Center Enhancement-Teach/Learn - CETL 2.,,,,,,,11,,,11
Center Enhancement-Teach/Learn - CETL 2.,,,,,,,11,,,11
Center Enhancement-Teach/Learn - CETL 2.,,,,,,,54,1,,3 58
Center Enhancement-Teach/Learn - CETL 3.,,,,,,,11,,,11
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,2,,,2
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,22,,,1 23
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,31,,,31
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,7,,,7
Center Enhancement-Teach/Learn - CETL 8.,7,,,,,,5,,,4.00 12
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,1,,,1
Center Enhancement-Teach/Learn - CETL 8.,11,,,,,,6,,,4.00 17
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,2,,,2
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,14,,,2 16
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,14,,,14
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,12,,,12
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,15,,,1 16
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,16,,,16
Chemical & Biomolecular Engr - CHBE 2100.,13,23,9,2,1,,,,,5 2.94 53
Chemical & Biomolecular Engr - CHBE 2100.,7,9,10,9,1,,,,,3 2.33 39
Chemical & Biomolecular Engr - CHBE 2120.,29,39,13,7,,,,,,2 3.02 90
Chemical & Biomolecular Engr - CHBE 2120.,15,25,22,10,4,,,,,6 2.49 82
Chemical & Biomolecular Engr - CHBE 2130.,20,26,23,4,1,,,,,4 2.81 78
Chemical & Biomolecular Engr - CHBE 2130.,21,33,32,2,1,,,,,1 2.80 90
Chemical & Biomolecular Engr - CHBE 2698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 2699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 2699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 2699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 2699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 2699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 2699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 2801.,,,,,,,11,,,1 12
Chemical & Biomolecular Engr - CHBE 3130.,20,38,24,4,2,1,,,,1 2.80 90
Chemical & Biomolecular Engr - CHBE 3200.,22,43,27,,1,1,,,,2 2.91 96
Chemical & Biomolecular Engr - CHBE 3210.,31,40,25,5,,,,,,2.96 101
Chemical & Biomolecular Engr - CHBE 3225.,84,21,5,1,,,,,,1 3.69 112
Chemical & Biomolecular Engr - CHBE 4050.,7,10,1,1,,,,,,1 3.21 20
Chemical & Biomolecular Engr - CHBE 4200.,11,29,19,,,,,,,2 2.86 61
Chemical & Biomolecular Engr - CHBE 4210.,8,9,1,,,,,,,3.39 18
Chemical & Biomolecular Engr - CHBE 4300.,37,51,44,9,,,,,,2.82 141
Chemical & Biomolecular Engr - CHBE 4411.,35,61,39,4,3,,,,,2.85 142
Chemical & Biomolecular Engr - CHBE 4411.,A,B,C,D,F,I,S,U,V,W Aver. Tota
Chemical & Biomolecular Engr - CHBE 4412.,8,16,,,,,,,,3.33 24
Chemical & Biomolecular Engr - CHBE 4412.,12,12,,,,,,,,3.50 24
Chemical & Biomolecular Engr - CHBE 4412.,12,11,1,,,,,,,3.46 24
Chemical & Biomolecular Engr - CHBE 4412.,11,12,,,,,,,,1 3.48 24
Chemical & Biomolecular Engr - CHBE 4412.,17,5,1,,1,,,,,3.54 24
Chemical & Biomolecular Engr - CHBE 4510.,27,15,15,1,2,,,,,3 3.07 63
Chemical & Biomolecular Engr - CHBE 4515.,45,36,13,1,1,,,,,2 3.28 98
Chemical & Biomolecular Engr - CHBE 4520.,9,11,3,,,,,,,3.26 23
Chemical & Biomolecular Engr - CHBE 4520.,12,14,7,2,,,,,,3.03 35
Chemical & Biomolecular Engr - CHBE 4520.,17,13,5,,,,,,,3.34 35
Chemical & Biomolecular Engr - CHBE 4520.,13,9,11,1,,,,,,3.00 34
Chemical & Biomolecular Engr - CHBE 4530.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4530.,4,4,1,,,,,,,3.33 9
Chemical & Biomolecular Engr - CHBE 4530.,1,6,2,,,,,,,2.89 9
Chemical & Biomolecular Engr - CHBE 4530.,4,5,1,,,,,,,3.30 10
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,4,4
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,2,2
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,4,4
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,2,2
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,6,,,,,,,,,4.00 6
Chemical & Biomolecular Engr - CHBE 4699.,3,,,,,,,,,4.00 3
Chemical & Biomolecular Engr - CHBE 4699.,2,,1,,,,,,,3.33 3
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,5,,,,,,,,,4.00 5
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,15,,,,,,,,,4.00 15
Chemical & Biomolecular Engr - CHBE 4699.,,1,,,,,,,,3.00 1
Chemical & Biomolecular Engr - CHBE 4699.,6,,,,,1,,,,4.00 7
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,6,,,,,,,,,4.00 6
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,5,,,,,,,,,4.00 5
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,5,,,,,,,,,4.00 5
Chemical & Biomolecular Engr - CHBE 4699.,3,,,,2,,,,,2.40 5
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,5,,,,,,,,,4.00 5
Chemical & Biomolecular Engr - CHBE 4699.,6,,,,,,,,,4.00 6
Chemical & Biomolecular Engr - CHBE 4699.,3,,,,,,,,,4.00 3
Chemical & Biomolecular Engr - CHBE 4699.,A,B,C,D,F,I,S,U,V,W Aver. Tota
Chemical & Biomolecular Engr - CHBE 4699.,3,,,,,,,,,4.00 3
Chemical & Biomolecular Engr - CHBE 4699.,10,,,,,,,,,4.00 10
Chemical & Biomolecular Engr - CHBE 4699.,4,,,,,,,,,4.00 4
Chemical & Biomolecular Engr - CHBE 4730.,13,6,5,,,,,,,1 3.33 25
Chemical & Biomolecular Engr - CHBE 4759.,4,3,1,,,,,,,1 3.38 9
Chemical & Biomolecular Engr - CHBE 4765.,6,11,1,1,,,,,,3.16 19
Chemical & Biomolecular Engr - CHBE 4767.,3,2,,,,,,,,1 3.60 6
Chemical & Biomolecular Engr - CHBE 4775.,20,13,1,1,,,,,,3.49 35
Chemical & Biomolecular Engr - CHBE 4793.,4,4,3,1,,,,,,2.92 12
Chemical & Biomolecular Engr - CHBE 4803.,17,3,,,,,,,,3.85 20
Chemical & Biomolecular Engr - CHBE 4803.,16,2,,,,,,,,2 3.89 20
Chemical & Biomolecular Engr - CHBE 4803.,13,1,1,,1,,,,,2 3.56 18
Chemical & Biomolecular Engr - CHBE 4803.,20,10,3,,,,,,,1 3.52 34
Chemical & Biomolecular Engr - CHBE 4803.,34,1,,,,,,,,1 3.97 36
Chemical & Biomolecular Engr - CHBE 4803.,1,7,,,,,,,,1 3.13 9
Chemical & Biomolecular Engr - CHBE 6050.,4,3,1,,,,,,,3.38 8
Chemical & Biomolecular Engr - CHBE 6130.,10,9,,,,,,,,1 3.53 20
Chemical & Biomolecular Engr - CHBE 6130.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 6260.,42,19,3,1,,,,,,2 3.57 67
Chemical & Biomolecular Engr - CHBE 6750.,1,,,,,,,,,2 4.00 3
Chemical & Biomolecular Engr - CHBE 6751.,1,,,,,,,,,1 4.00 2
Chemical & Biomolecular Engr - CHBE 6765.,6,5,2,,,,,,,3.31 13
Chemical & Biomolecular Engr - CHBE 6768.,1,2,,,,,,,,1 3.33 4
Chemical & Biomolecular Engr - CHBE 6777.,1,1,,,,,,,,3.50 2
Chemical & Biomolecular Engr - CHBE 7000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 7774.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 8002.,,,,,,,137,5,,142
Chemical & Biomolecular Engr - CHBE 8803.,2,1,,,,,,,,3.67 3
Chemical & Biomolecular Engr - CHBE 8803.,12,,,,,,,,,4.00 12
Chemical & Biomolecular Engr - CHBE 8803.,5,1,,,,,,,,3.83 6
Chemical & Biomolecular Engr - CHBE 8803.,5,,,,,,,,,4.00 5
Chemical & Biomolecular Engr - CHBE 8803.,10,7,,,,,,,,1 3.59 18
Chemical & Biomolecular Engr - CHBE 8803.,4,4,,,,,,,,3.50 8
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,5,,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,3,,,3
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,3,,,3
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,6,,,6
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,10,,,10
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,11,,,11
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,7,,,7
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,12,1,,13
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,8,,,8
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,11,,,11
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,8,,,8
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,7,1,,8
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,5,,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,5,,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,5,1,,6
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,6,,,6
Chemical & Biomolecular Engr - CHBE 9000.,A,B,C,D,F,I,S,U,V,W Aver. Tota
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,8,,,8
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,8,,,8
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,6,,,6
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,5,,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,3,,,3
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,3,,,3
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,3,,,3
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemistry - CHEM 1211K B,18,15,14,4,4,,,1,,7 2.71 63
Chemistry - CHEM 1212K A,49,86,27,17,6,,,,,10 2.84 195
Chemistry - CHEM 1212K J,59,76,20,10,1,,,,,2 3.10 168
Chemistry - CHEM 1310 C,40,51,35,10,11,,,1,,6 2.67 154
Chemistry - CHEM 1315 A,68,54,17,6,4,,,,,15 3.18 164
Chemistry - CHEM 2211 A,24,10,13,,1,,,,,4 3.17 52
Chemistry - CHEM 2311 A,56,53,19,7,2,,,,,3 3.12 140
Chemistry - CHEM 2312 A,51,58,35,18,2,1,,,,18 2.84 183
Chemistry - CHEM 2313 A,30,30,19,7,8,,,,,5 2.71 99
Chemistry - CHEM 2380 A,82,93,13,4,1,,,,,7 3.30 200
Chemistry - CHEM 2698 WNE,,,,,,,,,1,1
Chemistry - CHEM 2699 ELS,,,,,,,1,,,1
Chemistry - CHEM 2699 FER,,,,,,,1,,,1
Chemistry - CHEM 2699 FIN,,,,,,,1,,,1
Chemistry - CHEM 2699 FR2,,,,,,,1,,,1
Chemistry - CHEM 2699 HUD,,,,,,,1,,,1
Chemistry - CHEM 2699 JOS,,,,,,,1,,,1
Chemistry - CHEM 2699 KU2,,,,,,,1,,,1
Chemistry - CHEM 2699 LIE,,,,,,,1,,,1
Chemistry - CHEM 2699 MCD,,,,,,,1,,,1
Chemistry - CHEM 2699 POL,,,,,,,1,,,1
Chemistry - CHEM 2699 RWU,,,,,,,1,,,1
Chemistry - CHEM 2699 SO3,,,,,,,1,,,1
Chemistry - CHEM 2699 WK6,,,,,,,1,,,1
Chemistry - CHEM 2699 WLK,,,,,,,1,,,1
Chemistry - CHEM 2801 PS1,10,5,,1,,,,,,3.50 16
Chemistry - CHEM 2801 S,,,,,,,2,,,2
Chemistry - CHEM 3211 A,20,18,7,3,1,,,,,1 3.08 50
Chemistry - CHEM 3371 A,10,2,,,,,,,,1 3.83 13
Chemistry - CHEM 3411 A,14,11,7,1,1,,,,,4 3.06 38
Chemistry - CHEM 3412 A,30,42,36,5,1,,,,,3 2.83 117
Chemistry - CHEM 3481 A1,1,4,3,,,,,,,2.75 8
Chemistry - CHEM 3481 A2,3,2,1,,,,,,,2 3.33 8
Chemistry - CHEM 3481 A3,,3,1,,1,,,,,2.20 5
Chemistry - CHEM 3511 A,60,38,10,2,1,1,1,,1,4 3.39 118
Chemistry - CHEM 4452 A,4,1,,,,,,,,3.80 5
Chemistry - CHEM 4511 A,21,39,12,,1,,,,1,1 3.08 75
Chemistry - CHEM 4512 A,41,34,5,,1,,,,,3 3.41 84
Chemistry - CHEM 4521 A,3,3,2,,,,,,,1 3.13 9
Chemistry - CHEM 4581 A,15,12,4,,,,,,,3.35 31
Chemistry - CHEM 4582 A,16,4,,,,,,,,1 3.80 21
Chemistry - CHEM 4601 C,4,1,,,,,,,,3.80 5
Chemistry - CHEM 4698 BAR,,,,,,,,,1,1
Chemistry - CHEM 4698 EL4,,,,,,,,,1,1
Chemistry - CHEM 4698 EL4,A,B,C,D,F,I,S,U,V,W Aver. Tota
Chemistry - CHEM 4698 FN4,,,,,,,,,1,1
Chemistry - CHEM 4698 LA3,,,,,,,,,1,1
Chemistry - CHEM 4698 PA4,,,,,,,,,1,1
Chemistry - CHEM 4698 PO3,,,,,,,,,1,1
Chemistry - CHEM 4698 RE6,,,,,,,,,1,1
Chemistry - CHEM 4698 SHE,,,,,,,,,1,1
Chemistry - CHEM 4698 WIL,,,,,,,,,1,1
Chemistry - CHEM 4699 BAR,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 BR1,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 DI3,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 EL2,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 ELS,4,,,,,,,,,4.00 4
Chemistry - CHEM 4699 FER,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 FIN,4,,,,,,,,,4.00 4
Chemistry - CHEM 4699 FRA,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 GUT,,,,,,,,,,1 1
Chemistry - CHEM 4699 HN3,2,,,,,,,,,4.00 2
Chemistry - CHEM 4699 LAP,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 LIE,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 OY3,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 PAY,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 PO3,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 PO6,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 RED,2,,,,,,,,,4.00 2
Chemistry - CHEM 4699 SAD,1,1,,,,,,,,3.50 2
Chemistry - CHEM 4699 SK1,2,,,,,,,,,4.00 2
Chemistry - CHEM 4699 SK2,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 SK3,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 SK6,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 WLK,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 WU3,2,,,,,,,,,4.00 2
Chemistry - CHEM 4740 A,3,3,1,,,,,,,1 3.29 8
Chemistry - CHEM 4765 A,5,4,1,,,,,,,3.40 10
Chemistry - CHEM 4775 A,1,1,2,,,,,,,2.75 4
Chemistry - CHEM 4803 A,2,2,1,,,,,,,3.20 5
Chemistry - CHEM 4803 C,1,1,,,,,,,,3.50 2
Chemistry - CHEM 4803 ER,1,1,,,,,,,,1 3.50 3
Chemistry - CHEM 4803 W,2,,,,,,,,,4.00 2
Chemistry - CHEM 6182 A,13,2,,,,,,,1,3.87 16
Chemistry - CHEM 6281 A,16,,1,,,,,,,3.88 17
Chemistry - CHEM 6372 A,7,11,2,,,,,,1,3.25 21
Chemistry - CHEM 6373 A,9,3,,,,,1,,,1 3.75 14
Chemistry - CHEM 6485 A,9,7,,,,,,,5,3.56 21
Chemistry - CHEM 6492 A,5,3,,,,,,,,1 3.63 9
Chemistry - CHEM 6501 A,2,2,,,,,,,,3.50 4
Chemistry - CHEM 6502 A,1,2,,,,,,,,1 3.33 4
Chemistry - CHEM 6571 A,4,12,1,,,,,,,1 3.18 18
Chemistry - CHEM 6582 A,4,2,,,,,,,2,3.67 8
Chemistry - CHEM 6750 A,6,,,,,,1,,,4.00 7
Chemistry - CHEM 6751 A,,2,,,,,,,,3.00 2
Chemistry - CHEM 7000 FIN,,,,,,,1,,,1
Chemistry - CHEM 7000 GUM,,,,,,,,1,,1
Chemistry - CHEM 8000 A,,,,,,,78,,,78
Chemistry - CHEM 8002 RCR,,,,,,,49,,,1 50
Chemistry - CHEM 8833 ER,3,,,,,,,,,4.00 3
Chemistry - CHEM 8853 A,7,,,,,,,,,4.00 7
Chemistry - CHEM 8853 B,4,1,,,,,,,,3.80 5
Chemistry - CHEM 8853 R,,4,,,,,,,1,3.00 5
Chemistry - CHEM 8853 R,A,B,C,D,F,I,S,U,V,W Aver. Tota
Chemistry - CHEM 8903 A,1,,,,,,,,,4.00 1
Chemistry - CHEM 8997 VH,,,,,,,,,91,91
Chemistry - CHEM 9000 ARG,,,,,,,3,,,3
Chemistry - CHEM 9000 BOM,,,,,,,1,,,1
Chemistry - CHEM 9000 BRE,,,,,,,1,,,1
Chemistry - CHEM 9000 BRO,,,,,,,7,,,7
Chemistry - CHEM 9000 BRY,,,,,,,5,,,5
Chemistry - CHEM 9000 COL,,,,,,,6,,,6
Chemistry - CHEM 9000 DIC,,,,,,,7,,,7
Chemistry - CHEM 9000 ELS,,,,,,,6,,,6
Chemistry - CHEM 9000 FAH,,,,,,,20,1,,21
Chemistry - CHEM 9000 FER,,,,,,,4,,,4
Chemistry - CHEM 9000 FIN,,,,,,,10,,,10
Chemistry - CHEM 9000 FRA,,,,,,,9,,,9
Chemistry - CHEM 9000 GAU,,,,,,,1,,,1
Chemistry - CHEM 9000 GUT,,,,,,,3,,,3
Chemistry - CHEM 9000 HEN,,,,,,,1,,,1
Chemistry - CHEM 9000 HER,,,,,,,1,,,1
Chemistry - CHEM 9000 HUD,,,,,,,3,,,3
Chemistry - CHEM 9000 JAN,,,,,,,1,,,1
Chemistry - CHEM 9000 JON,,,,,,,1,,,1
Chemistry - CHEM 9000 KEL,,,,,,,1,,,1
Chemistry - CHEM 9000 KUB,,,,,,,3,,,3
Chemistry - CHEM 9000 LA,,,,,,,4,,,4
Chemistry - CHEM 9000 LAM,,,,,,,1,,,1
Chemistry - CHEM 9000 LAP,,,,,,,1,,,1
Chemistry - CHEM 9000 LIE,,,,,,,3,,,3
Chemistry - CHEM 9000 MAR,,,,,,,9,,,9
Chemistry - CHEM 9000 OLE,,,,,,,3,,,3
Chemistry - CHEM 9000 ORL,,,,,,,3,,,3
Chemistry - CHEM 9000 P-Y,,,,,,,3,,,3
Chemistry - CHEM 9000 PAY,,,,,,,1,,,1
Chemistry - CHEM 9000 PER,,,,,,,4,,,4
Chemistry - CHEM 9000 RED,,,,,,,7,,,7
Chemistry - CHEM 9000 REI,,,,,,,2,,,2
Chemistry - CHEM 9000 REY,,,,,,,10,,,10
Chemistry - CHEM 9000 RUS,,,,,,,2,,,2
Chemistry - CHEM 9000 SAD,,,,,,,4,1,,5
Chemistry - CHEM 9000 SCK,,,,,,,1,,,1
Chemistry - CHEM 9000 SHE,,,,,,,4,,,4
Chemistry - CHEM 9000 SOP,,,,,,,4,,,4
Chemistry - CHEM 9000 STO,,,,,,,5,,,5
Chemistry - CHEM 9000 TOL,,,,,,,1,,,1
Chemistry - CHEM 9000 WLK,,,,,,,3,,,3
Chemistry - CHEM 9000 WLM,,,,,,,3,,,3
Chemistry - CHEM 9000 WU,,,,,,,4,1,,5
Chemistry - CHEM 9000 XIA,,,,,,,9,,,9
Chemistry - CHEM 9000 ZHA,,,,,,,4,,,4
Chinese - CHIN 1001 D,12,2,1,,,,2,,,2 3.73 19
Chinese - CHIN 1001 E,8,1,1,,,,,,,1 3.70 11
Chinese - CHIN 1001 F,14,1,1,,,,2,1,,3.81 19
Chinese - CHIN 1001 UA,2,1,,,1,,1,,,2.75 5
Chinese - CHIN 1002 D,9,3,,,,,,,,3.75 12
Chinese - CHIN 1002 F,8,1,,,,,1,,,3.89 10
Chinese - CHIN 1002 G,14,2,,,,,,,,1 3.88 17
Chinese - CHIN 1002 UA,6,2,,,,,,,,3.75 8
Chinese - CHIN 1012 G,7,7,,,,,,,,3.50 14
Chinese - CHIN 2001 F,9,3,,,1,,,,,3.46 13
Chinese - CHIN 2001 F,A,B,C,D,F,I,S,U,V,W Aver. Tota
Chinese - CHIN 2001 G,5,1,1,,,,1,,,3.57 8
Chinese - CHIN 2002 C,9,3,1,,,,,,,3.62 13
Chinese - CHIN 2002 D,2,5,1,,,,,,,3.13 8
Chinese - CHIN 2011 C,5,3,,,,,1,,,1 3.63 10
Chinese - CHIN 3004 F,9,3,,,,,,,,3.75 12
Chinese - CHIN 3022 C,6,1,,,,,1,,,1 3.86 9
Chinese - CHIN 4004 F,5,1,,,,,,,,3.83 6
Chinese - CHIN 4022 E,5,1,1,,,,,,,1 3.57 8
City Planning - CP 2233 C,8,12,,,,,,,,1 3.40 21
City Planning - CP 4020 C,30,10,6,,1,,,,,3.45 47
City Planning - CP 4105 C,2,1,,,,,,,,3.67 3
