"",A,B,C,D,F,I,S,U,V,W Aver. Total
Biomedical Engineering - BMED 9000 ROY,,,,,,,7,,,7
Biomedical Engineering - BMED 9000 ROZ,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 SAL,,,,,,,6,,,6
Biomedical Engineering - BMED 9000 SAN,,,,,,,5,,,5
Biomedical Engineering - BMED 9000 SH3,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 SHO,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 SIN,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 SKE,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 SNI,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 SUN,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 THO,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 TNI,,,,,,,1,,,1
Biomedical Engineering - BMED 9000 TSU,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 TSY,,,,,,,2,,,2
Biomedical Engineering - BMED 9000 WOO,,,,,,,3,,,3
Biomedical Engineering - BMED 9000 YOO,,,,,,,1,,,1
Building Construction - BC 4700 SY,1,,,,,,,,,4.00 1
Building Construction - BC 6005 JI,9,,,,,,,,,4.00 9
Building Construction - BC 6025 SY,8,,,,,,,,,4.00 8
Building Construction - BC 6050 JC,7,2,,,,,,,,3.78 9
Building Construction - BC 6125 A,,,,,,,2,,,2
Building Construction - BC 6910 DP,12,1,,,,,,,,3.92 13
Building Construction - BC 6920 DP,18,,,,,,,,,4.00 18
Building Construction - BC 7000 EP,,,,,,,1,,,1
Building Construction - BC 7000 EY,,,,,,,2,,,2
Building Construction - BC 7200 DC,,,,,,,2,,,2
Building Construction - BC 8813 SA,6,1,,,,,,,,3.86 7
Building Construction - BC 8823 SA,7,,,,,,,,,4.00 7
Building Construction - BC 8903 BA,4,,,,,,,,,4.00 4
Building Construction - BC 8903 DC,2,,,,,,,,,4.00 2
Building Construction - BC 8903 JI,1,,,,,,,,,4.00 1
Building Construction - BC 8997 DC,,,,,,,,,1,1
Building Construction - BC 8998 BA,,,,,,,,,5,5
Building Construction - BC 8998 DC,,,,,,,,,3,3
Building Construction - BC 8998 JI,,,,,,,,,1,1
Building Construction - BC 8998 PP,,,,,,,,,1,1
Building Construction - BC 8999 BA,,,,,,,2,,,2
Building Construction - BC 8999 DC,,,,,,,1,,,1
Building Construction - BC 8999 EY,,,,,,,1,,,1
Building Construction - BC 8999 JI,,,,,,,1,,,1
Building Construction - BC 8999 PP,,,,,,,1,,,1
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,4,,,4
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,11,,,6 17
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,14,,,1 15
Center Enhancement-Teach/Learn - CETL 8.,,,,,,,15,,,1 16
Chemical & Biomolecular Engr - CHBE 2100.,6,6,11,5,1,1,,,,2 2.38 32
Chemical & Biomolecular Engr - CHBE 2100.,A,B,C,D,F,I,S,U,V,W Aver. Total
Chemical & Biomolecular Engr - CHBE 2698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 2699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 2699.,,,,,,1,,,,1
Chemical & Biomolecular Engr - CHBE 2699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 2699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 2699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 3130.,25,7,2,,1,,,,,3.57 35
Chemical & Biomolecular Engr - CHBE 3200.,16,7,7,5,,,,,,2.97 35
Chemical & Biomolecular Engr - CHBE 3210.,13,15,13,2,2,,,,,2.78 45
Chemical & Biomolecular Engr - CHBE 3225.,18,19,4,2,1,,,,,3.16 44
Chemical & Biomolecular Engr - CHBE 4200.,8,12,8,2,,,,,,2.87 30
Chemical & Biomolecular Engr - CHBE 4200.,7,3,,,,,,,,3.70 10
Chemical & Biomolecular Engr - CHBE 4210.,3,3,,,,,,,,1 3.50 7
Chemical & Biomolecular Engr - CHBE 4300.,13,14,9,2,1,,,,,2 2.92 41
Chemical & Biomolecular Engr - CHBE 4412.,5,1,,,,,,,,3.83 6
Chemical & Biomolecular Engr - CHBE 4412.,9,3,,,,,,,,3.75 12
Chemical & Biomolecular Engr - CHBE 4515.,15,4,4,1,,,,,,2 3.38 26
Chemical & Biomolecular Engr - CHBE 4520.,14,5,4,,,,,,,3.43 23
Chemical & Biomolecular Engr - CHBE 4520.,10,4,3,2,,,,,,3.16 19
Chemical & Biomolecular Engr - CHBE 4530.,2,1,1,,,,,,,1 3.25 5
Chemical & Biomolecular Engr - CHBE 4530.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,2,2
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,4,4
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,2,2
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,1,1
Chemical & Biomolecular Engr - CHBE 4698.,,,,,,,,,2,2
Chemical & Biomolecular Engr - CHBE 4699.,4,,,,,,,,,4.00 4
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,6,,,,,,,,,4.00 6
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,,,,,,1,,,,1
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,3,,,,,,,,,4.00 3
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,1,,,,,,,,,4.00 1
Chemical & Biomolecular Engr - CHBE 4699.,2,,,,,,,,,4.00 2
Chemical & Biomolecular Engr - CHBE 4803.,3,7,,,,,,,,3.30 10
Chemical & Biomolecular Engr - CHBE 7000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 7000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 8803.,8,,,,,,,,,4.00 8
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,3,,,3
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,6,,,6
Chemical & Biomolecular Engr - CHBE 9000.,A,B,C,D,F,I,S,U,V,W Aver. Total
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,8,,,8
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,7,,,1 8
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,10,,,10
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,5,1,,,6
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,8,,,8
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,7,,,7
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,6,,,6
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,1,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,5,,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,9,,,9
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,9,,,9
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,5,,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,5,,,5
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,3,,,3
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,3,,,3
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,2,,,2
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,4,,,4
Chemical & Biomolecular Engr - CHBE 9000.,,,,,,,1,,,1
Chemistry - CHEM 1212K A,7,11,4,1,1,,,,,2.92 24
Chemistry - CHEM 1310 A,9,12,3,2,1,,,,,1 2.96 28
Chemistry - CHEM 2311 A,32,19,10,4,1,,,,,4 3.17 70
Chemistry - CHEM 2311 RBT,8,7,,,,,,,,3.53 15
Chemistry - CHEM 2312 RBT,9,13,2,,,,,,,3.29 24
Chemistry - CHEM 2313 A,28,14,8,1,,1,,,,3 3.35 55
Chemistry - CHEM 2380 A,32,32,4,,,,,,,1 3.41 69
Chemistry - CHEM 2380 RBT,19,3,2,,,,,,,3.71 24
Chemistry - CHEM 2699 BRN,,,,,,,1,,,1
Chemistry - CHEM 2699 EL3,,,,,,,1,,,1
Chemistry - CHEM 3511 A,19,14,3,,1,,,,,3.35 37
Chemistry - CHEM 4694 BAR,,,,,,,,,2,2
Chemistry - CHEM 4695 BAR,1,,,,,,,,,4.00 1
Chemistry - CHEM 4698 BAR,,,,,,,,,1,1
Chemistry - CHEM 4698 BOM,,,,,,,,,1,1
Chemistry - CHEM 4698 EL2,,,,,,,,,1,1
Chemistry - CHEM 4698 FDZ,,,,,,,,,1,1
Chemistry - CHEM 4698 FFE,,,,,,,,,1,1
Chemistry - CHEM 4698 FIN,,,,,,,,,1,1
Chemistry - CHEM 4698 FN4,,,,,,,,,2,2
Chemistry - CHEM 4698 LIE,,,,,,,,,1,1
Chemistry - CHEM 4698 MAR,,,,,,,,,1,1
Chemistry - CHEM 4698 OY4,,,,,,,,,1,1
Chemistry - CHEM 4698 PA3,,,,,,,,,1,1
Chemistry - CHEM 4698 PO2,,,,,,,,,1,1
Chemistry - CHEM 4698 PO2,A,B,C,D,F,I,S,U,V,W Aver. Total
Chemistry - CHEM 4698 PO3,,,,,,,,,1,1
Chemistry - CHEM 4698 PO4,,,,,,,,,1,1
Chemistry - CHEM 4698 RE1,,,,,,,,,1,1
Chemistry - CHEM 4698 RE3,,,,,,,,,1,1
Chemistry - CHEM 4698 WI2,,,,,,,,,1,1
Chemistry - CHEM 4699 ELS,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 FRA,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 LAP,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 ORL,,1,,,,,,,,3.00 1
Chemistry - CHEM 4699 PER,1,,,,,,,,,4.00 1
Chemistry - CHEM 4699 PO4,2,,,,,,,,,4.00 2
Chemistry - CHEM 4699 ST4,,1,,,,,,,,3.00 1
Chemistry - CHEM 4699 WNE,1,,,,,,,,,4.00 1
Chemistry - CHEM 8997 VH,,,,,,,,,24,24
Chemistry - CHEM 9000 ARG,,,,,,,2,,,2
Chemistry - CHEM 9000 BAR,,,,,,,3,,,3
Chemistry - CHEM 9000 BKR,,,,,,,1,,,1
Chemistry - CHEM 9000 BOM,,,,,,,1,,,1
Chemistry - CHEM 9000 BRE,,,,,,,2,,,2
Chemistry - CHEM 9000 BRO,,,,,,,5,,,5
Chemistry - CHEM 9000 BRY,,,,,,,2,,,2
Chemistry - CHEM 9000 COL,,,,,,,5,,,5
Chemistry - CHEM 9000 DIC,,,,,,,8,,,8
Chemistry - CHEM 9000 ELS,,,,,,,3,,,3
Chemistry - CHEM 9000 FAH,,,,,,,3,,,3
Chemistry - CHEM 9000 FER,,,,,,,5,,,5
Chemistry - CHEM 9000 FIN,,,,,,,9,,,9
Chemistry - CHEM 9000 FRA,,,,,,,9,,,9
Chemistry - CHEM 9000 GAU,,,,,,,1,,,1
Chemistry - CHEM 9000 GUT,,,,,,,3,,,3
Chemistry - CHEM 9000 HUD,,,,,,,3,,,3
Chemistry - CHEM 9000 JAN,,,,,,,1,,,1
Chemistry - CHEM 9000 JON,,,,,,,1,,,1
Chemistry - CHEM 9000 KEL,,,,,,,1,,,1
Chemistry - CHEM 9000 KUB,,,,,,,3,,,3
Chemistry - CHEM 9000 LAM,,,,,,,1,,,1
Chemistry - CHEM 9000 LAP,,,,,,,6,,,6
Chemistry - CHEM 9000 LIE,,,,,,,5,,,5
Chemistry - CHEM 9000 MAR,,,,,,,9,,,9
Chemistry - CHEM 9000 ORL,,,,,,,3,,,3
Chemistry - CHEM 9000 OYE,,,,,,,2,,,2
Chemistry - CHEM 9000 PAY,,,,,,,1,,,1
Chemistry - CHEM 9000 PER,,,,,,,4,,,4
Chemistry - CHEM 9000 PPY,,,,,,,4,,,4
Chemistry - CHEM 9000 RAG,,,,,,,1,,,1
Chemistry - CHEM 9000 RED,,,,,,,7,,,7
Chemistry - CHEM 9000 REY,,,,,,,8,,,8
Chemistry - CHEM 9000 RIE,,,,,,,4,,,4
Chemistry - CHEM 9000 RUS,,,,,,,2,,,2
Chemistry - CHEM 9000 RWU,,,,,,,3,,,3
Chemistry - CHEM 9000 SAD,,,,,,,5,,,5
Chemistry - CHEM 9000 SCK,,,,,,,1,,,1
Chemistry - CHEM 9000 SHE,,,,,,,4,,,4
Chemistry - CHEM 9000 SOP,,,,,,,3,1,,4
Chemistry - CHEM 9000 STK,,,,,,,5,,,5
Chemistry - CHEM 9000 TOL,,,,,,,2,,,2
Chemistry - CHEM 9000 WLK,,,,,,,3,,,3
Chemistry - CHEM 9000 WLM,,,,,,,4,,,4
Chemistry - CHEM 9000 WLM,A,B,C,D,F,I,S,U,V,W Aver. Total
Chemistry - CHEM 9000 XIA,,,,,,,6,,,6
Chemistry - CHEM 9000 ZHA,,,,,,,4,,,4
Chinese - CHIN 3691 RCI,15,3,2,,,,,,,3.65 20
Chinese - CHIN 3692 RCI,16,4,,,,,,,,3.80 20
Chinese - CHIN 3693 RCI,18,2,,,,,,,,3.90 20
Chinese - CHIN 3696 RCI,16,4,,,,,,,,3.80 20
City Planning - CP 4020 C,18,7,2,,,,,,,1 3.59 28
City Planning - CP 4510 C,14,,,,,,,,,4.00 14
City Planning - CP 6514 C,11,,,,,,,,,1 4.00 12
City Planning - CP 6950 C,6,3,,,,,,,,3.67 9
City Planning - CP 7000 CR,,,,,,,2,,,2
City Planning - CP 8900 BD,3,1,,,,,,,,3.75 4
City Planning - CP 8900 MD,1,,,,,,,,,4.00 1
City Planning - CP 8900 NL,,,,,,,1,,,1
City Planning - CP 8998 BS,,,,,,,,,4,4
City Planning - CP 8998 NL,,,,,,,,,2,2
City Planning - CP 8999 NL,,,,,,,1,,,1
City Planning - CP 8999 S,,,,,,,2,,,2
City Planning - CP 8999 SB,,,,,,,,1,,1
City Planning - CP 9000 S,,,,,,,1,,,1
Civil and Environmental Engr - CEE 2300 A,18,8,1,,,,,,,2 3.63 29
Civil and Environmental Engr - CEE 3040 A,18,,,,,,,,,4.00 18
Civil and Environmental Engr - CEE 3040 R,1,1,2,,,,,,,2.75 4
Civil and Environmental Engr - CEE 3051 R1,18,6,,,,,,,,3.75 24
Civil and Environmental Engr - CEE 3055 A,4,4,2,,,,,,,1 3.20 11
Civil and Environmental Engr - CEE 4090 A,12,7,,,,,,,,3.63 19
Civil and Environmental Engr - CEE 4100 R1,8,,,,,,,,,4.00 8
Civil and Environmental Engr - CEE 4300 A,10,4,1,,,,,,,4 3.60 19
Civil and Environmental Engr - CEE 4405 B,14,10,2,,1,,,,,3 3.33 30
Civil and Environmental Engr - CEE 4540 A,13,4,2,,,,,,,3.58 19
Civil and Environmental Engr - CEE 4600 A,8,8,2,,,,,,,1 3.33 19
Civil and Environmental Engr - CEE 4640 A,4,5,2,,,,,,,3.18 11
Civil and Environmental Engr - CEE 4698 J.,,,,,,,,,2,2
Civil and Environmental Engr - CEE 4698 K.,,,,,,,,,1,1
Civil and Environmental Engr - CEE 4699 FRI,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 H.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 K.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 SC.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4699 W.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 4803 C,7,1,,,,,,,,3.88 8
Civil and Environmental Engr - CEE 4803 R,15,4,,,,,,,,3.79 19
Civil and Environmental Engr - CEE 4803 R1,5,2,,,,,,,,3.71 7
Civil and Environmental Engr - CEE 4803 R2,4,,,,,,,,,4.00 4
Civil and Environmental Engr - CEE 4903 R1,4,,,,,,,,,4.00 4
Civil and Environmental Engr - CEE 7000 BA.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 CRI,,,,,,,2,,,2
Civil and Environmental Engr - CEE 7000 FR.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 G.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 H.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 H.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 7000 JAC,,,,,,,3,,,3
Civil and Environmental Engr - CEE 7000 JTS,,,,,,,3,,,3
Civil and Environmental Engr - CEE 7000 M.,,,,,,1,,,,1
Civil and Environmental Engr - CEE 7000 TIE,,,,,,,1,,,1
Civil and Environmental Engr - CEE 7000 TR.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8900 FR.,2,,,,,,,,,4.00 2
Civil and Environmental Engr - CEE 8900 H.,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 LKS,1,,,,,,,,,4.00 1
Civil and Environmental Engr - CEE 8900 LKS,A,B,C,D,F,I,S,U,V,W Aver. Total
Civil and Environmental Engr - CEE 8900 R,2,,,,,,,,,4.00 2
Civil and Environmental Engr - CEE 8902 DAI,,,,,,,2,,,2
Civil and Environmental Engr - CEE 8902 G.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 8902 G.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 8902 J.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8956 A.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 8956 LKS,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 A.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 A.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 BA.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 BR.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 B.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 C.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 C.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 CRI,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 DAI,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 DE.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 FRI,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 FR.,,,,,,,9,,,9
Civil and Environmental Engr - CEE 9000 GE.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 GE.,,,,,,1,,,,1
Civil and Environmental Engr - CEE 9000 G.,,,,,,,7,,,7
Civil and Environmental Engr - CEE 9000 G.,,,,,,,6,,,6
Civil and Environmental Engr - CEE 9000 H.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 H.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 H.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 H.,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 J.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 JTS,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 K.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 K.,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 LAV,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 LKS,,,,,,,5,,,5
Civil and Environmental Engr - CEE 9000 M.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 M.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 M.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 M.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 M.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 PA.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 SC.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 ST.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 SU.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 TAY,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 TIE,,,,,,,4,,,4
Civil and Environmental Engr - CEE 9000 TR.,,,,,,,10,,,10
Civil and Environmental Engr - CEE 9000 W.,,,,,,,1,,,1
Civil and Environmental Engr - CEE 9000 W.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 W.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 W.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 W.,,,,,,,2,,,2
Civil and Environmental Engr - CEE 9000 YA.,,,,,,,3,,,3
Civil and Environmental Engr - CEE 9000 YIA,,,,,,,1,,,1
Colege of Architecture - COA 2241 RO1,9,,,,,,,,,4.00 9
Colege of Architecture - COA 2242 A,24,5,,,,,,,,1 3.83 30
Colege of Architecture - COA 2242 QUP,51,9,1,1,,,3,,,3 3.77 68
Colege of Architecture - COA 2242 RO1,50,,,,,,,,,1 4.00 51
Colege of Architecture - COA 2242 RO2,44,8,,,,,,,,1 3.85 53
Colege of Architecture - COA 2242 RO3,47,5,,,,,,,,3.90 52
Colege of Architecture - COA 2242 RO3,A,B,C,D,F,I,S,U,V,W Aver. Total
Colege of Architecture - COA 2242 SF,24,3,3,2,,,,,,3.53 32
Colege of Architecture - COA 3114 R,17,,,,,,,,,4.00 17
Colege of Architecture - COA 3115 RIT,13,4,,,,,,,,3.76 17
Colege of Architecture - COA 3116 RIT,17,,,,,,,,,4.00 17
Colege of Architecture - COA 6151 R,,1,,,,,,,,3.00 1
Colege of Architecture - COA 8998 JS,,,,,,,,,1,1
Colege of Architecture - COA 8999 JS,,,,,,,1,,,1
Colege of Architecture - COA 9000 CE,,,,,,,1,,,1
Colege of Architecture - COA 9000 GA,,,,,,,2,,,2
Colege of Architecture - COA 9000 JS,,,,,,,1,,,1
Colege of Engineering - COE 2001 A,15,17,17,2,1,,,,,3 2.83 55
Colege of Engineering - COE 2001 B,23,36,10,2,,,,,,1 3.13 72
Colege of Engineering - COE 2001 QUP,8,28,6,1,1,,,,,4 2.93 48
Colege of Engineering - COE 2001 R,11,6,8,1,,1,,,,1 3.04 28
Colege of Engineering - COE 2001 R1,16,10,4,2,,,,,,3.25 32
Colege of Engineering - COE 2001 RCH,6,3,2,,,,,,,1 3.36 12
Colege of Engineering - COE 3001 A,18,13,3,1,,,,,,1 3.37 36
Colege of Engineering - COE 3001 B,48,10,3,,,,,,,2 3.74 63
Colege of Engineering - COE 3001 R,9,8,11,1,,,,,,2.86 29
Colege of Engineering - COE 3001 R2,8,6,2,,,,,,,3.38 16
Computational Science & Engr - CSE 6748 A,9,,,,,,,,,4.00 9
Computational Science & Engr - CSE 7000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 8903 .,,1,,,,,,,,3.00 1
Computational Science & Engr - CSE 8903 .,,,,,,,1,,,1
Computational Science & Engr - CSE 8903 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8998 .,,,,,,,,,7,7
Computational Science & Engr - CSE 8999 .,,,,,,,1,,,1
Computational Science & Engr - CSE 8999 .,,,,,,,1,,,1
Computational Science & Engr - CSE 8999 .,1,,,,,,,,,4.00 1
Computational Science & Engr - CSE 8999 .,,,,,,,1,,,1
Computational Science & Engr - CSE 8999 .,,,,,,,3,,,3
Computational Science & Engr - CSE 8999 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,2,,,2
Computational Science & Engr - CSE 9000 .,,,,,,,2,,,2
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,2,,,2
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,4,,,4
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,1,,,1
Computational Science & Engr - CSE 9000 .,,,,,,,3,,,3
Computer Science - CS 1171 A,,,,,,,6,1,,7
Computer Science - CS 1301 A01,7,5,3,2,1,1,,,,3 2.83 22
Computer Science - CS 1301 A02,4,5,,,,,,,,1 3.44 10
Computer Science - CS 1301 GR1,,,,,,,4,,,4
Computer Science - CS 1301 O1,11,3,3,,,1,,,,3.47 18
Computer Science - CS 1301 QUP,6,1,,,,,,,,2 3.86 9
Computer Science - CS 1315 A01,18,9,2,,,,,,,3.55 29
Computer Science - CS 1315 A02,16,5,1,,1,,,,,1 3.52 24
Computer Science - CS 1315 R,20,10,,,,,,,,3.67 30
Computer Science - CS 1331 A01,15,15,8,3,2,,,,,4 2.88 47
Computer Science - CS 1331 A02,6,13,3,4,2,,,,,3 2.61 31
Computer Science - CS 1331 A03,3,9,3,1,,,,,,8 2.88 24
Computer Science - CS 1331 GR1,,,,,,,5,1,,1 7
Computer Science - CS 1332 A01,6,13,8,7,7,,,,,4 2.10 45
Computer Science - CS 1332 A02,15,14,15,11,5,1,,,,7 2.38 68
Computer Science - CS 1332 GR1,,,,,,,2,,,2
Computer Science - CS 1332 GR1,A,B,C,D,F,I,S,U,V,W Aver. Total
Computer Science - CS 1371 A01,17,7,9,,1,,,,,4 3.15 38
Computer Science - CS 1371 A02,5,2,1,,2,,,,,2 2.80 12
Computer Science - CS 1371 A03,9,4,7,1,1,,,,,4 2.86 26
Computer Science - CS 1371 A04,7,7,1,,1,1,,,,4 3.19 21
Computer Science - CS 1371 A05,12,3,3,,1,,,,,1 3.32 20
